pod,second,t_remaining,count
ping-l2sces-managed-1,0,59,0
ping-l2sces-managed-1,1,58,0
ping-l2sces-managed-1,2,57,0
ping-l2sces-managed-1,3,56,0
ping-l2sces-managed-1,4,55,0
ping-l2sces-managed-1,5,54,0
ping-l2sces-managed-1,6,53,0
ping-l2sces-managed-1,7,52,0
ping-l2sces-managed-1,8,51,0
ping-l2sces-managed-1,9,50,0
ping-l2sces-managed-1,10,49,0
ping-l2sces-managed-1,11,48,0
ping-l2sces-managed-1,12,47,0
ping-l2sces-managed-1,13,46,0
ping-l2sces-managed-1,14,45,0
ping-l2sces-managed-1,15,44,0
ping-l2sces-managed-1,16,43,0
ping-l2sces-managed-1,17,42,0
ping-l2sces-managed-1,18,41,0
ping-l2sces-managed-1,19,40,0
ping-l2sces-managed-1,20,39,0
ping-l2sces-managed-1,21,38,0
ping-l2sces-managed-1,22,37,0
ping-l2sces-managed-1,23,36,0
ping-l2sces-managed-1,24,35,0
ping-l2sces-managed-1,25,34,0
ping-l2sces-managed-1,26,33,0
ping-l2sces-managed-1,27,32,0
ping-l2sces-managed-1,28,31,0
ping-l2sces-managed-1,29,30,0
ping-l2sces-managed-1,30,29,0
ping-l2sces-managed-1,31,28,0
ping-l2sces-managed-1,32,27,0
ping-l2sces-managed-1,33,26,0
ping-l2sces-managed-1,34,25,30
ping-l2sces-managed-1,35,24,40
ping-l2sces-managed-1,36,23,40
ping-l2sces-managed-1,37,22,40
ping-l2sces-managed-1,38,21,40
ping-l2sces-managed-1,39,20,40
ping-l2sces-managed-1,40,19,40
ping-l2sces-managed-1,41,18,40
ping-l2sces-managed-1,42,17,40
ping-l2sces-managed-1,43,16,40
ping-l2sces-managed-1,44,15,40
ping-l2sces-managed-1,45,14,40
ping-l2sces-managed-1,46,13,36
ping-l2sces-managed-1,47,12,16
ping-l2sces-managed-1,48,11,12
ping-l2sces-managed-1,49,10,12
ping-l2sces-managed-1,50,9,10
ping-l2sces-managed-1,51,8,12
ping-l2sces-managed-1,52,7,10
ping-l2sces-managed-1,53,6,12
ping-l2sces-managed-1,54,5,10
ping-l2sces-managed-1,55,4,12
ping-l2sces-managed-1,56,3,10
ping-l2sces-managed-1,57,2,10
ping-l2sces-managed-1,58,1,12
ping-l2sces-managed-1,59,0,10
