cluster,N,mean,std,median,iqr,min,max,p5,p95,mad1,CV,RCV
l2sces-control,101,0.0235713020423083,0.00154543348862255,0.0233688029364504,0.0018778919561827,0.0205034059819976,0.0287601387776106,0.0214758514673566,0.026285876706876,0.000903693501887206,0.0655641969140543,0.0803589281526093
l2sces-managed-1,51,0.0557292779979018,0.00437549385592249,0.0550517263022783,0.00176215370083795,0.0517299972823851,0.0844744055041974,0.0526354957900449,0.0582631552477073,0.000899335130956629,0.078513377763251,0.0320090543784642
l2sces-managed-2,51,0.0548331140115884,0.00130542837364277,0.0546682668598122,0.00152242404378791,0.0529419158058716,0.0583941283847772,0.0530572762299447,0.0574607716351107,0.000780355491812101,0.0238072996067099,0.0278484051395284
sub-control,101,0.00249921856213693,0.000217529210084672,0.00247519945679998,0.000335765333331572,0.00200173528947763,0.00309303847455713,0.00218249328830078,0.00284768842440948,0.000158318741551305,0.0870388902276222,0.135651828950246
sub-managed-1,51,0.0602564130317554,0.00147700853280471,0.0602870054090819,0.00196731152874129,0.0568978316065953,0.0631208493801302,0.0576720909790786,0.0626711054487195,0.0009831245336639,0.0245120553728667,0.0326324307434406
sub-managed-2,51,0.0523104316086007,0.00443656679416344,0.0505121218008428,0.00827688055211362,0.0463302141937314,0.0611349429396401,0.0474837404590486,0.0601548297763559,0.00165731808986707,0.0848122765906218,0.163859292720812
