timestamp,iso8601,app,plane,cluster,cpu_cores,memory_bytes
1756181580,"2025-08-26T04:13:00Z","l2sm","control","l2sm-control",0.021499227737981304,843209728
1756181580,"2025-08-26T04:13:00Z","l2sm","managed","l2sm-managed-1",0.05588387763197305,946026496
1756181580,"2025-08-26T04:13:00Z","l2sm","managed","l2sm-managed-2",0.054495381783532304,896460800
1756181580,"2025-08-26T04:13:00Z","submariner","control","sub-control",0.002182493288300785,60252160
1756181580,"2025-08-26T04:13:00Z","submariner","managed","sub-managed-1",0.061639036351472457,379010048
1756181580,"2025-08-26T04:13:00Z","submariner","managed","sub-managed-2",0.04979282392004643,379880448
1756182012,"2025-08-26T04:20:12Z","l2sm","control","l2sm-control",0.021343251439135583,843592704
1756182012,"2025-08-26T04:20:12Z","submariner","control","sub-control",0.002879142523418486,60317696
1756182444,"2025-08-26T04:27:24Z","l2sm","control","l2sm-control",0.02291083675909225,843264000
1756182444,"2025-08-26T04:27:24Z","l2sm","managed","l2sm-managed-1",0.05172999728238512,949036032
1756182444,"2025-08-26T04:27:24Z","l2sm","managed","l2sm-managed-2",0.053515464715458504,896555008
1756182444,"2025-08-26T04:27:24Z","submariner","control","sub-control",0.002252341252989569,60326912
1756182444,"2025-08-26T04:27:24Z","submariner","managed","sub-managed-1",0.057612958711173515,379859353.6
1756182444,"2025-08-26T04:27:24Z","submariner","managed","sub-managed-2",0.04866425288730422,380235776
1756182876,"2025-08-26T04:34:36Z","l2sm","control","l2sm-control",0.02265342848336205,843343872
1756182876,"2025-08-26T04:34:36Z","submariner","control","sub-control",0.0024778035787457655,60325888
1756183308,"2025-08-26T04:41:48Z","l2sm","control","l2sm-control",0.02361602665268854,843366400
1756183308,"2025-08-26T04:41:48Z","l2sm","managed","l2sm-managed-1",0.05738443988198199,949294080
1756183308,"2025-08-26T04:41:48Z","l2sm","managed","l2sm-managed-2",0.05336747831020459,897891942.4
1756183308,"2025-08-26T04:41:48Z","submariner","control","sub-control",0.0026372508685318023,60347392
1756183308,"2025-08-26T04:41:48Z","submariner","managed","sub-managed-1",0.05943048064192105,379683840
1756183308,"2025-08-26T04:41:48Z","submariner","managed","sub-managed-2",0.047523961182780156,379531264
