run,apply_epoch_ns,first_icmp_epoch_ns_pong,approx_offset_ns,first_icmp_epoch_ns_laptop,probe_period_ms,estimate_ms,error_bound_ms,src_ping_ip,dst_pong_ip
55,1756827181408155661,1756827182200145920,59177875,1756827182140968045,5,730,2,192.168.1.2,192.168.1.3
56,1756827190887733883,1756827190958857984,63816331,1756827190895041653,5,4,2,192.168.1.2,192.168.1.3
57,1756827200573480104,1756827200655958784,64492158,1756827200591466626,5,15,2,192.168.1.2,192.168.1.3
58,1756827209964856189,1756827210034831104,58791019,1756827209976040085,5,8,2,192.168.1.2,192.168.1.3
59,1756827219666264772,1756827219731697152,64190841,1756827219667506311,5,-1,2,192.168.1.2,192.168.1.3
60,1756827230546292056,1756827230617062144,70908048,1756827230546154096,5,-2,2,192.168.1.2,192.168.1.3
61,1756827239837533523,1756827240570273024,64611322,1756827240505661702,5,665,2,192.168.1.2,192.168.1.3
62,1756827249170673986,1756827249244623872,53562696,1756827249191061176,5,17,2,192.168.1.2,192.168.1.3
63,1756827257742475327,1756827257809364992,53833619,1756827257755531373,5,10,2,192.168.1.2,192.168.1.3
64,1756827266657641995,1756827266731180032,61205871,1756827266669974161,5,9,2,192.168.1.2,192.168.1.3
65,1756827276172310919,1756827276889188096,65916731,1756827276823271365,5,648,2,192.168.1.2,192.168.1.3
66,1756827285985548537,1756827286058278144,69181055,1756827285989097089,5,1,2,192.168.1.2,192.168.1.3
67,1756827295771709435,1756827295847079936,69232786,1756827295777847150,5,3,2,192.168.1.2,192.168.1.3
68,1756827305155188029,1756827306105256192,65812363,1756827306039443829,5,881,2,192.168.1.2,192.168.1.3
69,1756827315471080380,1756827315546236160,62079411,1756827315484156749,5,10,2,192.168.1.2,192.168.1.3
